name,mill,code
Superfine Australian Brown Solid,Ermenegildo Zegna,036/01RA
Superfine Australian Grey Solid,Ermenegildo Zegna,036BT/017B
Superfine Australian Black Solid,Ermenegildo Zegna,036BT/01DX
Superfine Australian Tan Solid,Ermenegildo Zegna,036BT/B20Q
Superfine Australian Green Solid,Ermenegildo Zegna,036BT/B24F
Superfine Australian Tan Solid,Ermenegildo Zegna,036BT/B25E
Superfine Australian Grey Stripe,Ermenegildo Zegna,036BT/B2GQ
Superfine Australian Blue Solid,Ermenegildo Zegna,036BT/B2JQ
Superfine Australian Pink Solid,Ermenegildo Zegna,036BT/B2Q1
Superfine Australian Grey Solid,Ermenegildo Zegna,036BT/B2QC
Superfine Australian Tan Solid,Ermenegildo Zegna,036BT/B2QD
Superfine Australian Tan Solid,Ermenegildo Zegna,036BT/B2VQ
Superfine Australian Purple Solid,Ermenegildo Zegna,036BT/B2XQ
Superfine Australian Blue Solid,Ermenegildo Zegna,036BT/B2YQ
Superfine Australian Ivory Solid,Ermenegildo Zegna,036BT/B2Z0
Superfine Australian Tan Solid,Ermenegildo Zegna,036BT/B2Z5
Superfine Australian Blue Solid,Ermenegildo Zegna,036T/010J
Superfine Australian Green Solid,Ermenegildo Zegna,036T/0117
Superfine Australian Green Solid,Ermenegildo Zegna,036T/0121
Superfine Australian Blue Solid,Ermenegildo Zegna,036T/01J8
Superfine Australian Blue Solid,Ermenegildo Zegna,036T/01QA
Superfine Australian Blue Solid,Ermenegildo Zegna,036T/01QB
Superfine Australian Brown Solid,Ermenegildo Zegna,036T/01QE
Superfine Australian Blue Solid,Ermenegildo Zegna,036T/01W4
Superfine Australian Blue Solid,Ermenegildo Zegna,036T/01WQ
Superfine Australian Tan Solid,Ermenegildo Zegna,036T/01Z8
Superfine Australian Grey Check,Ermenegildo Zegna,12101
Superfine Australian Grey Stripe,Ermenegildo Zegna,12102
Superfine Australian Blue Stripe,Ermenegildo Zegna,12103
Superfine Australian Blue Stripe,Ermenegildo Zegna,12104
Superfine Australian Black Stripe,Ermenegildo Zegna,12105
Superfine Australian Grey Stripe,Ermenegildo Zegna,12106
Superfine Australian Grey Stripe,Ermenegildo Zegna,12107
Superfine Australian Tan Stripe,Ermenegildo Zegna,12108
Superfine Australian Blue Stripe,Ermenegildo Zegna,12109
Superfine Australian Blue Stripe,Ermenegildo Zegna,12110
Superfine Australian Blue Stripe,Ermenegildo Zegna,12111
Superfine Australian Grey Stripe,Ermenegildo Zegna,12112
Superfine Australian Blue Check,Ermenegildo Zegna,12113
Superfine Australian Grey Check,Ermenegildo Zegna,12114
Superfine Australian Grey Check,Ermenegildo Zegna,12115
Superfine Australian Blue Check,Ermenegildo Zegna,12116
Superfine Australian Brown Check,Ermenegildo Zegna,12117
Superfine Australian Grey Check,Ermenegildo Zegna,12118
Superfine Australian Blue Check,Ermenegildo Zegna,12119
Superfine Australian Grey Check,Ermenegildo Zegna,12120
Superfine Australian Grey Check,Ermenegildo Zegna,12121
Superfine Australian Grey Check,Ermenegildo Zegna,12122
Superfine Australian Blue Check,Ermenegildo Zegna,12123
Superfine Australian Blue Check,Ermenegildo Zegna,12124
Superfine Australian Black Check,Ermenegildo Zegna,12125
Superfine Australian Blue Stripe,Ermenegildo Zegna,12126
Superfine Australian Blue Stripe,Ermenegildo Zegna,12127
Superfine Australian Black Stripe,Ermenegildo Zegna,12128
Superfine Australian Blue Check,Ermenegildo Zegna,12129
Superfine Australian Blue Check,Ermenegildo Zegna,12130
Superfine Australian Black Check,Ermenegildo Zegna,12131
Superfine Australian Grey Pattern,Ermenegildo Zegna,12132
Superfine Australian Blue Pattern,Ermenegildo Zegna,12133
Superfine Australian Blue Pattern,Ermenegildo Zegna,12134
Superfine Australian Tan Pattern,Ermenegildo Zegna,12135
Superfine Australian Grey Pattern,Ermenegildo Zegna,12136
Superfine Australian Grey Pattern,Ermenegildo Zegna,12137
Superfine Australian Grey Pattern,Ermenegildo Zegna,12138
Superfine Australian Grey Pattern,Ermenegildo Zegna,12139
Superfine Australian Grey Pattern,Ermenegildo Zegna,12140
Superfine Australian Blue Pattern,Ermenegildo Zegna,12141
Superfine Australian Blue Solid,Ermenegildo Zegna,12142
Superfine Australian Blue Solid,Ermenegildo Zegna,12143
Superfine Australian Blue Solid,Ermenegildo Zegna,12144
Superfine Australian Blue Solid,Ermenegildo Zegna,12145
Superfine Australian Blue Solid,Ermenegildo Zegna,12146
Superfine Australian Blue Solid,Ermenegildo Zegna,12147
Superfine Australian Black Solid,Ermenegildo Zegna,12148
Superfine Australian Blue Check,Ermenegildo Zegna,21101
Superfine Australian Blue Check,Ermenegildo Zegna,21102
Superfine Australian Grey Check,Ermenegildo Zegna,21103
Superfine Australian Blue Check,Ermenegildo Zegna,21104
Superfine Australian Blue Plaid,Ermenegildo Zegna,21105
Superfine Australian Grey Plaid,Ermenegildo Zegna,21106
Superfine Australian Tan Check,Ermenegildo Zegna,21107
Superfine Australian Grey Check,Ermenegildo Zegna,21108
Superfine Australian Blue Plaid,Ermenegildo Zegna,21109
Superfine Australian Grey Stripe,Ermenegildo Zegna,21110
Superfine Australian Grey Plaid,Ermenegildo Zegna,21111
Superfine Australian Tan Plaid,Ermenegildo Zegna,21112
Superfine Australian Grey Plaid,Ermenegildo Zegna,21113
Superfine Australian Blue Plaid,Ermenegildo Zegna,21114
Superfine Australian Blue Check,Ermenegildo Zegna,21115
Superfine Australian Blue Check,Ermenegildo Zegna,21116
Superfine Australian Blue Stripe,Ermenegildo Zegna,21117
Superfine Australian Blue Stripe,Ermenegildo Zegna,21118
Superfine Australian Black Stripe,Ermenegildo Zegna,21119
Superfine Australian Grey Stripe,Ermenegildo Zegna,21120
Superfine Australian Blue Stripe,Ermenegildo Zegna,21121
Superfine Australian Blue Stripe,Ermenegildo Zegna,21122
Superfine Australian Grey Stripe,Ermenegildo Zegna,21123
Superfine Australian Grey Stripe,Ermenegildo Zegna,21124
Superfine Australian Grey Pattern,Ermenegildo Zegna,21125
Superfine Australian Blue Pattern,Ermenegildo Zegna,21126
Superfine Australian Blue Pattern,Ermenegildo Zegna,21127
Superfine Australian Blue Pattern,Ermenegildo Zegna,21128
Superfine Australian Blue Pattern,Ermenegildo Zegna,21129
Superfine Australian Grey Pattern,Ermenegildo Zegna,21130
Superfine Australian Grey Pattern,Ermenegildo Zegna,21131
Superfine Australian Grey Pattern,Ermenegildo Zegna,21132
Superfine Australian Grey Pattern,Ermenegildo Zegna,21133
Superfine Australian Blue Pattern,Ermenegildo Zegna,21134
Superfine Australian Blue Pattern,Ermenegildo Zegna,21135
Superfine Australian Blue Pattern,Ermenegildo Zegna,21136
Superfine Australian Grey Pattern,Ermenegildo Zegna,21137
Superfine Australian Tan Pattern,Ermenegildo Zegna,21138
Superfine Australian Tan Pattern,Ermenegildo Zegna,21139
Superfine Australian Grey Solid,Ermenegildo Zegna,21140
Superfine Australian Grey Solid,Ermenegildo Zegna,21141
Superfine Australian Grey Solid,Ermenegildo Zegna,21142
Superfine Australian Grey Solid,Ermenegildo Zegna,21143
Superfine Australian Grey Solid,Ermenegildo Zegna,21144
Superfine Australian Blue Solid,Ermenegildo Zegna,21145
Superfine Australian Blue Solid,Ermenegildo Zegna,21146
Superfine Australian Blue Solid,Ermenegildo Zegna,21147
Superfine Australian Blue Solid,Ermenegildo Zegna,21148
Superfine Australian Blue Solid,Ermenegildo Zegna,21149
Superfine Australian Blue Solid,Ermenegildo Zegna,21150
Superfine Australian Blue Solid,Ermenegildo Zegna,21151
Superfine Australian Blue Solid,Ermenegildo Zegna,21152
Superfine Australian Black Solid,Ermenegildo Zegna,21153
"85% Wool, 15% Silk Tan Plaid",Ermenegildo Zegna,22101
"85% Wool, 15% Silk Grey Plaid",Ermenegildo Zegna,22102
"85% Wool, 15% Silk Grey Plaid",Ermenegildo Zegna,22103
"85% Wool, 15% Silk Grey Plaid",Ermenegildo Zegna,22104
"85% Wool, 15% Silk Blue Plaid",Ermenegildo Zegna,22105
"85% Wool, 15% Silk Blue Plaid",Ermenegildo Zegna,22106
"85% Wool, 15% Silk Tan Check",Ermenegildo Zegna,22107
"85% Wool, 15% Silk Blue Check",Ermenegildo Zegna,22108
"85% Wool, 15% Silk Blue Check",Ermenegildo Zegna,22109
"85% Wool, 15% Silk Grey Check",Ermenegildo Zegna,22110
"85% Wool, 15% Silk Grey Check",Ermenegildo Zegna,22111
"85% Wool, 15% Silk Grey Check",Ermenegildo Zegna,22112
"85% Wool, 15% Silk Blue Check",Ermenegildo Zegna,22113
"85% Wool, 15% Silk Grey Stripe",Ermenegildo Zegna,22114
"85% Wool, 15% Silk Blue Stripe",Ermenegildo Zegna,22115
"85% Wool, 15% Silk Blue Stripe",Ermenegildo Zegna,22116
"85% Wool, 15% Silk Blue Stripe",Ermenegildo Zegna,22117
"85% Wool, 15% Silk Grey Check",Ermenegildo Zegna,22118
"85% Wool, 15% Silk Grey Check",Ermenegildo Zegna,22119
"85% Wool, 15% Silk Blue Check",Ermenegildo Zegna,22120
"85% Wool, 15% Silk Blue Check",Ermenegildo Zegna,22121
"85% Wool, 15% Silk Grey Pattern",Ermenegildo Zegna,22122
"85% Wool, 15% Silk Grey Pattern",Ermenegildo Zegna,22123
"85% Wool, 15% Silk Blue Pattern",Ermenegildo Zegna,22124
"85% Wool, 15% Silk Blue Pattern",Ermenegildo Zegna,22125
"85% Wool, 15% Silk Blue Herringbone",Ermenegildo Zegna,22126
"85% Wool, 15% Silk Blue Herringbone",Ermenegildo Zegna,22127
"85% Wool, 15% Silk Blue Herringbone",Ermenegildo Zegna,22128
"85% Wool, 15% Silk Blue Herringbone",Ermenegildo Zegna,22129
"85% Wool, 15% Silk Grey Herringbone",Ermenegildo Zegna,22130
"85% Wool, 15% Silk Blue Pattern",Ermenegildo Zegna,22131
"85% Wool, 15% Silk Blue Pattern",Ermenegildo Zegna,22132
"85% Wool, 15% Silk Grey Pattern",Ermenegildo Zegna,22133
"85% Wool, 15% Silk Grey Pattern",Ermenegildo Zegna,22134
"85% Wool, 15% Silk Grey Pattern",Ermenegildo Zegna,22135
"85% Wool, 15% Silk Grey Pattern",Ermenegildo Zegna,22136
"85% Wool, 15% Silk Tan Solid",Ermenegildo Zegna,22137
"85% Wool, 15% Silk Blue Solid",Ermenegildo Zegna,22138
"85% Wool, 15% Silk Grey Solid",Ermenegildo Zegna,22139
"85% Wool, 15% Silk Grey Solid",Ermenegildo Zegna,22140
"85% Wool, 15% Silk Grey Solid",Ermenegildo Zegna,22141
"85% Wool, 15% Silk Black Solid",Ermenegildo Zegna,22142
"85% Wool, 15% Silk Blue Solid",Ermenegildo Zegna,22143
"85% Wool, 15% Silk Blue Solid",Ermenegildo Zegna,22144
"85% Wool, 15% Silk Blue Solid",Ermenegildo Zegna,22145
"85% Wool, 15% Silk Blue Solid",Ermenegildo Zegna,22146
Super 110s Grey Solid,Vitale Barberis,223701480
Super 110s Grey Solid,Vitale Barberis,223702480
Super 110s Grey Solid,Vitale Barberis,223704480
Super 110s Grey Solid,Vitale Barberis,223705480
Super 110s Black Solid,Vitale Barberis,223707480
Super 110s Black Solid,Vitale Barberis,223707520
Super 110s White Solid,Vitale Barberis,223708480
Super 110s Blue Solid,Vitale Barberis,223711520
