code,conditions,garment
0018,"[{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 1 Button Fasten""}}]",Jacket
0016,"[{""Jacket Style"":{""condition"":""contains"",""value"":""6-Button 2 Button Fasten""}}]",Jacket
TestCode,"[{""Waistband"":{""condition"":""equals"",""value"":""Suspender Button""}},{""Front Closure"":{""condition"":""not"",""value"":""Pointed Extender with Hook & Button""}},{""Front Closure"":{""condition"":""not"",""value"":""Another Thing""}}]",Pants
3020,"[{""Front Style"":{""condition"":""equals"",""value"":""Flat Front""}}]",Pants
3021,"[{""Front Style"":{""condition"":""equals"",""value"":""Single Pleat""}}]",Pants
3023,"[{""Front Style"":{""condition"":""equals"",""value"":""Double Pleat""}}]",Pants
3449,"[{""Waistband"":{""condition"":""equals"",""value"":""Suspender Buttons""}}]",Pants
3440,"[{""Waistband"":{""condition"":""equals"",""value"":""No Suspender Buttons""}}]",Pants
3330,"[{""Waistband"":{""condition"":""equals"",""value"":""Belt Loops""}}]",Pants
3329,"[{""Waistband"":{""condition"":""equals"",""value"":""No Belt Loops""}}]",Pants
3351,"[{""Waistband"":{""condition"":""equals"",""value"":""Side Button Tab""}}]",Pants
3352=QZMAB01,"[{""Waistband"":{""condition"":""equals"",""value"":""Side Silver Buckle""}}]",Pants
3352=QZMAB02,"[{""Waistband"":{""condition"":""equals"",""value"":""Side Gunmetal Buckle""}}]",Pants
3411,"[{""Front Closure"":{""condition"":""equals"",""value"":""Button No Extender""}}]",Pants
3410,"[{""Front Closure"":{""condition"":""equals"",""value"":""Hook No Extender""}}]",Pants
3414,"[{""Front Closure"":{""condition"":""equals"",""value"":""Square Extender with Double Hook""}}]",Pants
3412,"[{""Front Closure"":{""condition"":""equals"",""value"":""Pointed Extender with Hook & Button""}}]",Pants
3130,"[{""Front Pockets"":{""condition"":""equals"",""value"":""On Seam""}}]",Pants
3104,"[{""Front Closure"":{""condition"":""equals"",""value"":""Slanted""}}]",Pants
3132,"[{""Front Closure"":{""condition"":""equals"",""value"":""Vertical Welt""}}]",Pants
3134,"[{""Front Closure"":{""condition"":""equals"",""value"":""Jean Pockets""}}]",Pants
32F3,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Left - Flap with Button""}}]",Pants
320F,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Right - Besom without Button""}}]",Pants
360K,"[{""Cuffs"":{""condition"":""equals"",""value"":""No Cuff - Slanted Hem""}}]",Pants
3602,"[{""Cuffs"":{""condition"":""equals"",""value"":""Standard 1.5\""""}}]",Pants
3605,"[{""Cuffs"":{""condition"":""equals"",""value"":""Wide 2.0\""""}}]",Pants
0011,"[{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 1 Button""}}]",Jacket
0012,"[{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 2 Button""}}]",Jacket
0013,"[{""Jacket Style"":{""condition"":""equals"",""value"":""Single Breasted - 3 Button""}}]",Jacket
0017,"[{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 1 Button Fasten""}}]",Jacket
0015,"[{""Jacket Style"":{""condition"":""equals"",""value"":""Double Breasted - 4-Button 2 Button Fasten""}}]",Jacket
0101,"[{""Breast Pocket"":{""condition"":""equals"",""value"":""Normal""}}]",Jacket
0150,"[{""Breast Pocket"":{""condition"":""equals"",""value"":""Patch""}}]",Jacket
0201,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Straight - Normal Flap Straight""}}]",Jacket
0204,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Straight - Normal Flap with Ticket""}}]",Jacket
0231,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Straight - Double Besom Straight""}}]",Jacket
0234,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Straight - Double Besom With Ticket""}}]",Jacket
02A1,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Slanted - Normal Flap Slanted""}}]",Jacket
02A2,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Slanted - Normal Flap with Ticket""}}]",Jacket
02D1,"[{""Lower Pockets"":{""condition"":""equals"",""value"":""Slanted - Double Besom Slanted""}}]",Jacket
3201,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Both - Besom with Button""}}]",Pants
3200,"[{""Back Pockets"":{""condition"":""equals"",""value"":""Both - Besom without Button""}}]",Pants
